Name,Status,URL,Clean URL,Payouts,Life time,Monitoring,Admin rate,User rate,Funds return,Min deposit,Max deposit,Referral bonus,Payment methods
UHL Ltd,PAYING,http://www.unitedhyipleague.com/?ref=goldpoll,http://www.unitedhyipleague.com,2.5-10% daily!,524 days,524 days,4,100.4,380.50%,$25,"$50,000",10%,"['Bankwire', 'Ego', 'PerfectM', 'Stp']"
Winment,PAYING,http://winment.com/?ref=goldpoll,http://winment.com,3.7-7% daily!,290 days,290 days,3,16.0,345.00%,$1,n/a,5-10%,"['Ego', 'PerfectM']"
Fund Barter,PAYING,http://fundbarter.net/?ref=goldpoll,http://fundbarter.net,2.7-5.3% daily!,444 days,442 days,3,15.6,928.80%,$50,n/a,4%,"['Ego', 'PerfectM', 'Stp']"
Accelerate Fund,PAYING,http://acceleratefund.com/?ref=goldpoll,http://acceleratefund.com,4.6-5.5% daily!,312 days,312 days,2,50.1,1136.20%,$1,"$250,000",1-8%,"['Ego', 'PerfectM']"
Vanguard Interest,PAYING,http://vanguardinterest.com/index.php?ref=goldpoll,http://vanguardinterest.com,8-11% daily for 15 days!,695 days,695 days,2,17.7,2600.50%,$25,"$200,000",5%,"['Ego', 'PerfectM']"
Mutual Wealth,PAYING,http://www.mutualwealth.com/?rcode=20811731,http://www.mutualwealth.com,2-8% weekly!,406 days,401 days,2,60.5,142.52%,$100,n/a,3%,"['Bankwire', 'Ego', 'PerfectM', 'Stp']"
Emy Investment,PROBLEM,http://emyinvestment.com/?ref=goldpoll,http://emyinvestment.com,12-18% daily!,624 days,624 days,2,107.1,4315.15%,$20,n/a,5%,['PerfectM']
World Invest Service Inc,PAYING,http://worldinvestservice.com/?ref=goldpoll,http://worldinvestservice.com,1-3% daily!,1372 days,1369 days,1,21.0,1300.00%,$10,n/a,5%,['PerfectM']
Best Barter Group,PAYING,http://bestbartergroup.com/?ref=goldpoll,http://bestbartergroup.com,2-3% daily!,500 days,500 days,2,18.3,752.00%,$1,n/a,2-5%,"['Ego', 'PerfectM']"
EI Finance,PAYING,http://eifinance.com/?ref=goldpoll,http://eifinance.com,3-5% daily!,246 days,246 days,2,18.0,522.00%,$1,n/a,10%,"['Ego', 'PerfectM']"
Prs Investment Ltd,PROBLEM,http://prsinvestment.biz/?ref=goldpoll,http://prsinvestment.biz,1.8-3.3% daily!,627 days,627 days,2,1.2,1099.80%,$10,n/a,2-10%,['PerfectM']
Sdra Investment,PROBLEM,http://sdrainvest.com/?ref=goldpoll,http://sdrainvest.com,1-3% daily!,1366 days,1366 days,1,22.4,1316.00%,$10,n/a,5%,['PerfectM']
Kash Gol Ltd,PROBLEM,http://kashgolltd.com/?ref=goldpoll,http://kashgolltd.com,2-4% daily!,627 days,627 days,2,24.3,1020.00%,$10,n/a,5%,['PerfectM']
Business Trade Group,PAYING,http://businesstradegroup.biz/?ref=goldpoll,http://businesstradegroup.biz,1-3% daily!,910 days,910 days,1,-0.4,483.00%,$10,n/a,5%,['PerfectM']
