sep=;
Name;Status;URL;Clean URL;Payouts;Life time;Monitoring;Admin rate;User rate;Funds return;Min deposit;Max deposit;Referral bonus
UHL Ltd;PAYING;http://www.unitedhyipleague.com/?ref=goldpoll;http://www.unitedhyipleague.com;2.5-10% daily!;523 days;523 days;4;98.2;378.00%;$25;$50,000;10%
Winment;PAYING;http://winment.com/?ref=goldpoll;http://winment.com;3.7-7% daily!;289 days;289 days;3;15.9;343.50%;$1;n/a;5-10%
Fund Barter;PAYING;http://fundbarter.net/?ref=goldpoll;http://fundbarter.net;2.7-5.3% daily!;443 days;441 days;3;15.3;926.10%;$50;n/a;4%
Accelerate Fund;PAYING;http://acceleratefund.com/?ref=goldpoll;http://acceleratefund.com;4.6-5.5% daily!;311 days;311 days;2;50.1;1131.60%;$1;$250,000;1-8%
Vanguard Interest;PAYING;http://vanguardinterest.com/index.php?ref=goldpoll;http://vanguardinterest.com;8-11% daily for 15 days!;694 days;694 days;2;16.3;2592.50%;$25;$200,000;5%
Mutual Wealth;PAYING;http://www.mutualwealth.com/?rcode=20811731;http://www.mutualwealth.com;2-8% weekly!;405 days;400 days;2;60.5;142.52%;$100;n/a;3%
Emy Investment;PAYING;http://emyinvestment.com/?ref=goldpoll;http://emyinvestment.com;12-18% daily!;623 days;623 days;2;107.0;4314.26%;$20;n/a;5%
World Invest Service Inc;PAYING;http://worldinvestservice.com/?ref=goldpoll;http://worldinvestservice.com;1-3% daily!;1371 days;1368 days;1;21.0;1299.00%;$10;n/a;5%
Best Barter Group;PAYING;http://bestbartergroup.com/?ref=goldpoll;http://bestbartergroup.com;2-3% daily!;499 days;499 days;2;18.0;750.00%;$1;n/a;2-5%
Sdra Investment;PAYING;http://sdrainvest.com/?ref=goldpoll;http://sdrainvest.com;1-3% daily!;1365 days;1365 days;1;22.3;1315.00%;$10;n/a;5%
EI Finance;PAYING;http://eifinance.com/?ref=goldpoll;http://eifinance.com;3-5% daily!;245 days;245 days;2;18.0;519.00%;$1;n/a;10%
Prs Investment Ltd;PROBLEM;http://prsinvestment.biz/?ref=goldpoll;http://prsinvestment.biz;1.8-3.3% daily!;626 days;626 days;2;1.1;1099.80%;$10;n/a;2-10%
Kash Gol Ltd;PROBLEM;http://kashgolltd.com/?ref=goldpoll;http://kashgolltd.com;2-4% daily!;626 days;626 days;2;24.3;1020.00%;$10;n/a;5%
Business Trade Group;PAYING;http://businesstradegroup.biz/?ref=goldpoll;http://businesstradegroup.biz;1-3% daily!;909 days;909 days;1;-0.4;482.00%;$10;n/a;5%
Global - Fund;PAYING;http://global-fund.org;http://global-fund.org;1-3% monthly!;1248 days;1248 days;1;10.2;37.00%;$100;$100,000;n/a
Senior Gold;PAYING;http://seniorgold.biz/?ref=goldpoll;http://seniorgold.biz;8-15% weekly!;662 days;660 days;1;1.0;712.00%;$80;n/a;5%
LPL Financial;PAYING;http://lplfinancial.biz/?ref=goldpoll;http://lplfinancial.biz;8-10% monthly!;1025 days;1025 days;1;1.0;256.00%;$10;n/a;5%
Fresht Capital Management;PAYING;http://freshtcapitalmanagement.com/?ref=goldpoll;http://freshtcapitalmanagement.com;1.2-3.2% daily!;623 days;623 days;1;-0.7;630.00%;$50;n/a;5-10%
Pay Orbit;PAYING;http://payorbit.com/?ref=goldpoll;http://payorbit.com;5-10% weekly!;872 days;869 days;1;-0.1;600.00%;$100;n/a;5%
Capital Classical;PAYING;http://www.capitalclassical.com;http://www.capitalclassical.com;6.5-12.5% monthly!;1185 days;1185 days;1;0.4;240.50%;$100;$200,000;n/a
Online - Investments;PAYING;http://online-investments.biz/?ref=goldpoll;http://online-investments.biz;108-150% after 10 days!;1365 days;1365 days;1;34.7;838.00%;$100;n/a;7%
Investment Capital Limited UK;PAYING;http://i-capital.co/?ref=goldpoll;http://i-capital.co;1% daily!;636 days;636 days;1;0.5;2290.71%;$10;$50,000;n/a
Grand Wealth Signal;PAYING;http://www.grandwealthsignal.com;http://www.grandwealthsignal.com;7-16% monthly!;1202 days;1202 days;1;0.9;266.00%;$100;n/a;n/a
